Transaction Date,Description,Amount
2024-02-24,SKIP*PIZZA PIZZA,28.91
2024-02-24,UBER* TRIP,18.67
2024-02-25,TIM HORTONS #0442,6.31
2024-02-25,LCBO #0882,43.63
2024-03-01,EMPLOYER DIRECT DEPOSIT,2068.57
2024-03-01,PRE-AUTH RENT PAYMENT,1750.0
2024-03-01,PRESTO TRANSIT TORONTO,156.0
2024-03-01,JACK ASTORS BAR,45.86
2024-03-01,BALZACS COFFEE TORONTO,7.0
2024-03-02,ROGERS WIRELESS,63.54
2024-03-02,EARLS KITCHEN + BAR,50.21
2024-03-02,UBER* TRIP,24.11
2024-03-02,UBER* TRIP,9.01
2024-03-03,NETFLIX.COM,15.99
2024-03-03,SPOTIFY P1A8F2,11.99
2024-03-03,METRO INC ON,50.67
2024-03-03,CACTUS CLUB CAFE,71.67
2024-03-03,TIM HORTONS #0442,6.94
2024-03-05,AMAZON PRIME CA,9.99
2024-03-06,UBER* TRIP,12.42
2024-03-07,APPLE.COM/BILL,3.99
2024-03-07,STARBUCKS #8834,4.44
2024-03-08,YOUTUBE PREMIUM,13.99
2024-03-08,SECOND CUP TORONTO,4.85
2024-03-09,ANTHROPOLOGIE TORONTO,68.83
2024-03-10,DUOLINGO PLUS,8.99
2024-03-10,STUDIO 44 SALON TORONTO,153.22
2024-03-10,UBER* TRIP,26.77
2024-03-12,SHOPPERS DRUG MART #0882,62.41
2024-03-12,UBER* TRIP,21.09
2024-03-12,LCBO #1192,42.78
2024-03-14,SECOND CUP TORONTO,9.16
2024-03-15,EMPLOYER DIRECT DEPOSIT,2073.06
2024-03-15,DOORDASH*PAD THAI EXPRESS,47.52
2024-03-15,SUNSET GRILL,38.73
2024-03-15,STARBUCKS #8834,6.83
2024-03-15,LCBO #0882,30.42
2024-03-15,LCBO #0882,40.81
2024-03-16,TIM HORTONS #0442,7.55
2024-03-16,THE ORDINARY ONLINE,25.02
2024-03-17,EMMA'S COUNTRY KITCHEN,36.42
2024-03-17,STARBUCKS #8834,4.56
2024-03-17,UBER* TRIP,20.52
2024-03-18,ADOBE CC PLAN,29.99
2024-03-18,OSMOW'S SHAWARMA,21.98
2024-03-18,THE ORDINARY ONLINE,16.96
2024-03-20,HEADSPACE APP,12.99
2024-03-20,ROGERS INTERNET,74.99
2024-03-20,NATALIE R PHYSIOTHERAPY,88.0
2024-03-22,GOODLIFE FITNESS,44.99
2024-03-22,SOBEYS YONGE ST,51.39
2024-03-22,TIM HORTONS #0442,6.31
2024-03-23,MONTANAS TORONTO,35.84
2024-03-24,UBER EATS*CHIPOTLE,43.45
2024-03-25,DOORDASH*PAD THAI EXPRESS,51.83
2024-03-26,BALZACS COFFEE TORONTO,7.61
2024-03-27,WHOLE FOODS MARKET,78.53
2024-03-27,UBER EATS*CHIPOTLE,51.5
2024-03-28,TIM HORTONS #0442,4.94
2024-04-01,EMPLOYER DIRECT DEPOSIT,2064.72
2024-04-01,PRE-AUTH RENT PAYMENT,1750.0
2024-04-01,PRESTO TRANSIT TORONTO,156.0
2024-04-01,TERRACOTTA TORONTO,70.0
2024-04-01,TIM HORTONS #0442,8.02
2024-04-02,ROGERS WIRELESS,67.1
2024-04-02,MONTANAS TORONTO,31.47
2024-04-03,NETFLIX.COM,17.99
2024-04-03,SPOTIFY P1A8F2,11.99
2024-04-03,TERRACOTTA TORONTO,29.04
2024-04-05,AMAZON PRIME CA,9.99
2024-04-05,UBER EATS*CHIPOTLE,39.83
2024-04-05,TIM HORTONS #2291,5.06
2024-04-06,TIM HORTONS #0442,4.6
2024-04-06,SECOND CUP TORONTO,6.75
2024-04-06,SHELL STN 0442 TORONTO,74.94
2024-04-07,APPLE.COM/BILL,3.99
2024-04-07,SECOND CUP TORONTO,9.47
2024-04-07,UNIQLO TORONTO,83.28
2024-04-08,YOUTUBE PREMIUM,13.99
2024-04-09,MARSHALLS TORONTO,55.09
2024-04-09,UBER* TRIP,13.02
2024-04-10,DUOLINGO PLUS,8.99
2024-04-10,LCBO #1192,33.03
2024-04-12,UBER* TRIP,23.22
2024-04-12,UBER* TRIP,9.84
2024-04-13,LCBO #0442,26.06
2024-04-14,LUSH COSMETICS TORONTO,72.59
2024-04-15,EMPLOYER DIRECT DEPOSIT,2072.52
2024-04-15,LOCAL PUBLIC EATERY,45.7
2024-04-15,BALZACS COFFEE TORONTO,4.44
2024-04-17,EMMA'S COUNTRY KITCHEN,53.54
2024-04-17,STUDIO 44 SALON TORONTO,85.97
2024-04-18,ADOBE CC PLAN,29.99
2024-04-19,UBER* TRIP,13.4
2024-04-19,LCBO #0882,17.19
2024-04-20,HEADSPACE APP,12.99
2024-04-20,ROGERS INTERNET,74.99
2024-04-21,LOBLAWS #1192,143.23
2024-04-21,UNIQLO TORONTO,76.82
2024-04-21,UBER* TRIP,17.21
2024-04-22,GOODLIFE FITNESS,44.99
2024-04-22,UBER EATS*CHIPOTLE,31.01
2024-04-22,EARLS KITCHEN + BAR,49.96
2024-04-24,JACK ASTORS BAR,44.27
2024-04-24,AROMA ESPRESSO BAR,6.87
2024-04-25,FRESHCO #441,128.47
2024-04-26,JACK ASTORS BAR,28.42
2024-04-27,THE REX JAZZ BAR,16.22
2024-04-27,STARBUCKS #8834,5.31
2024-04-27,SECOND CUP TORONTO,9.36
2024-05-01,EMPLOYER DIRECT DEPOSIT,2123.4
2024-05-01,PRE-AUTH RENT PAYMENT,1750.0
2024-05-01,PRESTO TRANSIT TORONTO,156.0
2024-05-02,ROGERS WIRELESS,64.92
2024-05-02,OSMOW'S SHAWARMA,33.96
2024-05-03,NETFLIX.COM,17.99
2024-05-03,SPOTIFY P1A8F2,11.99
2024-05-03,CHIPOTLE YONGE ST,34.91
2024-05-03,UBER* TRIP,10.02
2024-05-05,AMAZON PRIME CA,9.99
2024-05-05,AMAZON.CA*P9X1Z,122.61
2024-05-06,SAJE WELLNESS,81.87
2024-05-07,APPLE.COM/BILL,3.99
2024-05-07,WHOLE FOODS MARKET,172.21
2024-05-08,YOUTUBE PREMIUM,13.99
2024-05-09,METRO INC ON,152.77
2024-05-10,DUOLINGO PLUS,8.99
2024-05-11,TIM HORTONS #2291,6.6
2024-05-12,TERRACOTTA TORONTO,17.29
2024-05-12,DOWNTOWN DENTAL CENTRE,139.14
2024-05-13,TIM HORTONS #0442,5.33
2024-05-13,PETRO-CANADA #8812,50.95
2024-05-14,REXALL #0441,54.32
2024-05-15,EMPLOYER DIRECT DEPOSIT,2063.02
2024-05-15,AROMA ESPRESSO BAR,4.86
2024-05-15,SECOND CUP TORONTO,8.47
2024-05-16,LOCAL PUBLIC EATERY,60.14
2024-05-16,JACK ASTORS BAR,56.93
2024-05-16,LUSH COSMETICS TORONTO,49.71
2024-05-17,SECOND CUP TORONTO,5.19
2024-05-17,UBER* TRIP,24.17
2024-05-17,LCBO #1192,45.7
2024-05-17,LCBO #0882,19.84
2024-05-18,ADOBE CC PLAN,29.99
2024-05-19,STARBUCKS #8834,8.09
2024-05-20,HEADSPACE APP,12.99
2024-05-20,ROGERS INTERNET,74.99
2024-05-20,SECOND CUP TORONTO,8.28
2024-05-21,EMMA'S COUNTRY KITCHEN,15.57
2024-05-21,UBER* TRIP,24.27
2024-05-22,GOODLIFE FITNESS,44.99
2024-05-23,DOORDASH*SWEETGREEN,44.75
2024-05-23,UBER* TRIP,22.85
2024-05-24,TIM HORTONS #0442,4.6
2024-05-27,THE REX JAZZ BAR,25.59
2024-06-01,EMPLOYER DIRECT DEPOSIT,2103.13
2024-06-01,PRE-AUTH RENT PAYMENT,1750.0
2024-06-01,PRESTO TRANSIT TORONTO,156.0
2024-06-02,ROGERS WIRELESS,66.53
2024-06-03,NETFLIX.COM,17.99
2024-06-03,SPOTIFY P1A8F2,11.99
2024-06-04,AROMA ESPRESSO BAR,6.57
2024-06-05,AMAZON PRIME CA,9.99
2024-06-05,UBER EATS*SUSHI MOTO,47.78
2024-06-06,SKIP*PIZZA PIZZA,52.23
2024-06-06,BALZACS COFFEE TORONTO,7.5
2024-06-06,LUSH COSMETICS TORONTO,27.59
2024-06-06,LCBO #0442,47.16
2024-06-07,APPLE.COM/BILL,3.99
2024-06-07,SKIP*PIZZA PIZZA,47.38
2024-06-08,YOUTUBE PREMIUM,13.99
2024-06-08,AROMA ESPRESSO BAR,5.87
2024-06-08,SECOND CUP TORONTO,7.77
2024-06-08,LCBO #0882,33.65
2024-06-10,DUOLINGO PLUS,8.99
2024-06-10,TERRACOTTA TORONTO,19.7
2024-06-10,H&M QUEEN ST W,71.73
2024-06-10,UBER* TRIP,19.35
2024-06-11,UBER* TRIP,17.23
2024-06-12,DOORDASH*SWEETGREEN,53.89
2024-06-14,APPLE STORE TORONTO,428.0
2024-06-15,EMPLOYER DIRECT DEPOSIT,2071.39
2024-06-15,AROMA ESPRESSO BAR,8.19
2024-06-16,SOBEYS YONGE ST,95.8
2024-06-18,ADOBE CC PLAN,29.99
2024-06-18,LOBLAWS #1192,75.06
2024-06-18,UBER* TRIP,14.97
2024-06-19,SECOND CUP TORONTO,4.66
2024-06-19,PETRO-CANADA #8812,53.07
2024-06-20,HEADSPACE APP,12.99
2024-06-20,ROGERS INTERNET,74.99
2024-06-20,UBER* TRIP,8.62
2024-06-20,UBER* TRIP,11.05
2024-06-22,GOODLIFE FITNESS,44.99
2024-06-22,BYBLOS TORONTO,21.38
2024-06-22,STUDIO 44 SALON TORONTO,139.03
2024-06-23,H&M QUEEN ST W,70.46
2024-06-24,BALZACS COFFEE TORONTO,6.94
2024-06-26,SECOND CUP TORONTO,7.98
2024-06-27,JACK ASTORS BAR,20.64
2024-06-27,TIM HORTONS #2291,7.29
2024-07-01,EMPLOYER DIRECT DEPOSIT,2079.47
2024-07-01,PRE-AUTH RENT PAYMENT,1750.0
2024-07-01,PRESTO TRANSIT TORONTO,156.0
2024-07-02,ROGERS WIRELESS,65.38
2024-07-02,LOCAL PUBLIC EATERY,68.45
2024-07-03,NETFLIX.COM,19.99
2024-07-03,SPOTIFY P1A8F2,11.99
2024-07-03,TERRACOTTA TORONTO,48.46
2024-07-05,AMAZON PRIME CA,9.99
2024-07-05,BALZACS COFFEE TORONTO,5.98
2024-07-07,APPLE.COM/BILL,3.99
2024-07-07,LOCAL PUBLIC EATERY,56.93
2024-07-07,UBER* TRIP,26.57
2024-07-07,LCBO #0882,30.62
2024-07-08,YOUTUBE PREMIUM,13.99
2024-07-08,LCBO #0442,43.41
2024-07-09,STARBUCKS #8834,8.03
2024-07-09,STARBUCKS #8834,4.98
2024-07-09,UBER* TRIP,31.79
2024-07-10,DUOLINGO PLUS,8.99
2024-07-11,BALZACS COFFEE TORONTO,4.4
2024-07-13,UBER EATS*SUSHI MOTO,75.28
2024-07-15,EMPLOYER DIRECT DEPOSIT,2093.16
2024-07-15,TIM HORTONS #2291,7.19
2024-07-15,STARBUCKS #8834,7.88
2024-07-15,AMAZON.CA*P9X1Z,104.49
2024-07-15,UBER* TRIP,11.6
2024-07-16,LOCAL PUBLIC EATERY,43.73
2024-07-17,NO FRILLS #0892,123.79
2024-07-17,THE REX JAZZ BAR,50.25
2024-07-18,ADOBE CC PLAN,29.99
2024-07-18,FRESHCO #441,93.92
2024-07-20,HEADSPACE APP,12.99
2024-07-20,ROGERS INTERNET,74.99
2024-07-20,TIM HORTONS #0442,9.03
2024-07-22,GOODLIFE FITNESS,44.99
2024-07-22,AROMA ESPRESSO BAR,9.08
2024-07-22,LUSH COSMETICS TORONTO,27.06
2024-07-23,TIM HORTONS #0442,8.97
2024-07-23,SHOPPERS DRUG MART #0882,48.78
2024-07-26,DOORDASH*PAD THAI EXPRESS,83.24
2024-07-26,SUNSET GRILL,31.89
2024-07-27,SAJE WELLNESS,67.55
2024-08-01,EMPLOYER DIRECT DEPOSIT,2133.77
2024-08-01,PRE-AUTH RENT PAYMENT,1750.0
2024-08-01,PRESTO TRANSIT TORONTO,156.0
2024-08-01,EARLS KITCHEN + BAR,74.27
2024-08-01,BALZACS COFFEE TORONTO,6.94
2024-08-01,TIM HORTONS #0442,6.03
2024-08-02,ROGERS WIRELESS,64.58
2024-08-02,THE REX JAZZ BAR,47.52
2024-08-03,NETFLIX.COM,19.99
2024-08-03,SPOTIFY P1A8F2,11.99
2024-08-03,UBER* TRIP,15.81
2024-08-04,UBER EATS*CAVA TORONTO,42.02
2024-08-04,STARBUCKS #1042,4.7
2024-08-05,AMAZON PRIME CA,9.99
2024-08-05,UBER* TRIP,24.68
2024-08-05,LCBO #0882,47.87
2024-08-06,SECOND CUP TORONTO,7.24
2024-08-07,APPLE.COM/BILL,3.99
2024-08-07,EMMA'S COUNTRY KITCHEN,20.08
2024-08-08,YOUTUBE PREMIUM,13.99
2024-08-08,SOBEYS YONGE ST,63.66
2024-08-09,SOBEYS YONGE ST,77.58
2024-08-09,CHIPOTLE YONGE ST,39.96
2024-08-09,DOWNTOWN DENTAL CENTRE,129.43
2024-08-10,DUOLINGO PLUS,8.99
2024-08-11,THE REX JAZZ BAR,57.01
2024-08-12,STUDIO 44 SALON TORONTO,118.66
2024-08-13,SKIP*PIZZA PIZZA,29.48
2024-08-14,EARLS KITCHEN + BAR,24.17
2024-08-14,AROMA ESPRESSO BAR,6.4
2024-08-15,EMPLOYER DIRECT DEPOSIT,2110.84
2024-08-15,WHOLE FOODS MARKET,79.63
2024-08-15,SKIP*PIZZA PIZZA,25.84
2024-08-15,OSMOW'S SHAWARMA,29.7
2024-08-15,THE ORDINARY ONLINE,17.27
2024-08-15,PETRO-CANADA #8812,48.04
2024-08-16,SKIP*PIZZA PIZZA,26.91
2024-08-16,SUNSET GRILL,64.56
2024-08-18,ADOBE CC PLAN,29.99
2024-08-18,LCBO #0882,24.87
2024-08-19,BALZACS COFFEE TORONTO,7.27
2024-08-20,HEADSPACE APP,12.99
2024-08-20,ROGERS INTERNET,74.99
2024-08-20,UBER* TRIP,25.05
2024-08-22,GOODLIFE FITNESS,44.99
2024-08-22,UBER* TRIP,16.13
2024-08-23,REXALL #0441,41.92
2024-08-23,AMAZON.CA*MT4K2,115.76
2024-08-24,STARBUCKS #1042,4.67
2024-08-24,THE ORDINARY ONLINE,75.26
2024-08-25,SECOND CUP TORONTO,8.3
2024-08-28,UBER EATS*SUSHI MOTO,38.2
2024-09-01,EMPLOYER DIRECT DEPOSIT,2051.44
2024-09-01,PRE-AUTH RENT PAYMENT,1750.0
2024-09-01,PRESTO TRANSIT TORONTO,156.0
2024-09-02,ROGERS WIRELESS,64.19
2024-09-02,EARLS KITCHEN + BAR,30.48
2024-09-02,STARBUCKS #8834,5.86
2024-09-03,NETFLIX.COM,22.99
2024-09-03,SPOTIFY P1A8F2,11.99
2024-09-03,EARLS KITCHEN + BAR,34.27
2024-09-03,BALZACS COFFEE TORONTO,7.31
2024-09-03,ULTA BEAUTY,72.27
2024-09-05,AMAZON PRIME CA,9.99
2024-09-05,UBER EATS*SUSHI MOTO,25.11
2024-09-05,STARBUCKS #8834,7.26
2024-09-06,SUNSET GRILL,42.94
2024-09-07,APPLE.COM/BILL,3.99
2024-09-07,BALZACS COFFEE TORONTO,5.27
2024-09-08,YOUTUBE PREMIUM,13.99
2024-09-10,DUOLINGO PLUS,8.99
2024-09-10,STUDIO 44 SALON TORONTO,113.1
2024-09-12,REXALL #0441,73.16
2024-09-12,UNIQLO TORONTO,35.15
2024-09-14,SOBEYS YONGE ST,142.45
2024-09-14,UBER* TRIP,11.7
2024-09-15,EMPLOYER DIRECT DEPOSIT,2077.58
2024-09-15,UBER* TRIP,20.08
2024-09-16,FRESHCO #441,179.66
2024-09-16,NATALIE R PHYSIOTHERAPY,82.36
2024-09-17,DOORDASH*PAD THAI EXPRESS,20.26
2024-09-17,MARSHALLS TORONTO,53.48
2024-09-18,ADOBE CC PLAN,29.99
2024-09-18,EMMA'S COUNTRY KITCHEN,18.63
2024-09-19,TIM HORTONS #0442,6.27
2024-09-20,HEADSPACE APP,12.99
2024-09-20,ROGERS INTERNET,74.99
2024-09-20,MONTANAS TORONTO,21.98
2024-09-20,TIM HORTONS #2291,9.24
2024-09-20,UBER* TRIP,20.44
2024-09-20,LCBO #0882,47.86
2024-09-21,MONTANAS TORONTO,50.04
2024-09-22,GOODLIFE FITNESS,44.99
2024-09-22,BALZACS COFFEE TORONTO,5.75
2024-09-22,LCBO #1192,38.32
2024-09-24,TJ MAXX,21.68
2024-09-26,SECOND CUP TORONTO,6.44
2024-10-01,EMPLOYER DIRECT DEPOSIT,2064.67
2024-10-01,PRE-AUTH RENT PAYMENT,1750.0
2024-10-01,PRESTO TRANSIT TORONTO,156.0
2024-10-02,ROGERS WIRELESS,64.58
2024-10-02,THE REX JAZZ BAR,38.16
2024-10-03,NETFLIX.COM,22.99
2024-10-03,SPOTIFY P1A8F2,11.99
2024-10-03,OSMOW'S SHAWARMA,36.92
2024-10-03,UBER* TRIP,22.04
2024-10-04,TIM HORTONS #0442,7.49
2024-10-05,AMAZON PRIME CA,9.99
2024-10-07,APPLE.COM/BILL,3.99
2024-10-07,UBER EATS*CHIPOTLE,82.8
2024-10-08,YOUTUBE PREMIUM,13.99
2024-10-08,SOBEYS YONGE ST,129.63
2024-10-08,OSMOW'S SHAWARMA,21.73
2024-10-10,DUOLINGO PLUS,8.99
2024-10-10,SECOND CUP TORONTO,8.36
2024-10-10,UNIQLO TORONTO,109.65
2024-10-14,SOBEYS YONGE ST,118.83
2024-10-14,TIM HORTONS #0442,4.62
2024-10-15,EMPLOYER DIRECT DEPOSIT,2137.13
2024-10-16,STARBUCKS #8834,7.84
2024-10-16,STARBUCKS #8834,7.66
2024-10-17,STARBUCKS #1042,4.45
2024-10-18,ADOBE CC PLAN,29.99
2024-10-20,HEADSPACE APP,12.99
2024-10-20,ROGERS INTERNET,74.99
2024-10-20,STARBUCKS #1042,5.35
2024-10-21,AMAZON.CA*MT4K2,56.65
2024-10-22,GOODLIFE FITNESS,44.99
2024-10-22,STARBUCKS #1042,4.31
2024-10-24,UBER* TRIP,13.44
2024-10-24,PETRO-CANADA #8812,68.71
2024-10-24,LCBO #1192,21.74
2024-10-25,CHIPOTLE YONGE ST,22.23
2024-10-26,BALZACS COFFEE TORONTO,4.25
2024-10-26,ULTA BEAUTY,75.4
2024-10-27,ULTA BEAUTY,72.04
2024-10-28,EMMA'S COUNTRY KITCHEN,24.53
2024-10-28,UBER* TRIP,11.79
2024-11-01,EMPLOYER DIRECT DEPOSIT,2130.97
2024-11-01,PRE-AUTH RENT PAYMENT,1750.0
2024-11-01,PRESTO TRANSIT TORONTO,156.0
2024-11-01,SECOND CUP TORONTO,9.06
2024-11-02,ROGERS WIRELESS,63.88
2024-11-02,STARBUCKS #1042,5.06
2024-11-03,NETFLIX.COM,22.99
2024-11-03,SPOTIFY P1A8F2,11.99
2024-11-03,SOBEYS YONGE ST,111.4
2024-11-03,LOCAL PUBLIC EATERY,45.4
2024-11-05,AMAZON PRIME CA,9.99
2024-11-05,SECOND CUP TORONTO,9.29
2024-11-05,AMAZON.CA*P9X1Z,63.58
2024-11-06,LOBLAWS #1192,102.91
2024-11-06,STARBUCKS #8834,5.54
2024-11-07,APPLE.COM/BILL,3.99
2024-11-07,STARBUCKS #8834,4.76
2024-11-08,YOUTUBE PREMIUM,13.99
2024-11-10,DUOLINGO PLUS,8.99
2024-11-10,STARBUCKS #1042,8.42
2024-11-10,UNIQLO TORONTO,81.59
2024-11-11,STUDIO 44 SALON TORONTO,141.62
2024-11-13,LOCAL PUBLIC EATERY,15.69
2024-11-13,SEPHORA TORONTO,67.41
2024-11-13,DOWNTOWN DENTAL CENTRE,117.44
2024-11-15,EMPLOYER DIRECT DEPOSIT,2130.6
2024-11-15,EMMA'S COUNTRY KITCHEN,60.29
2024-11-15,UBER* TRIP,11.79
2024-11-16,CHIPOTLE YONGE ST,15.09
2024-11-17,LOCAL PUBLIC EATERY,30.5
2024-11-17,SECOND CUP TORONTO,5.76
2024-11-18,ADOBE CC PLAN,29.99
2024-11-19,WHOLE FOODS MARKET,95.03
2024-11-20,HEADSPACE APP,12.99
2024-11-20,ROGERS INTERNET,74.99
2024-11-20,CHIPOTLE YONGE ST,46.34
2024-11-20,AROMA ESPRESSO BAR,6.35
2024-11-20,UBER* TRIP,14.25
2024-11-22,GOODLIFE FITNESS,44.99
2024-11-22,BALZACS COFFEE TORONTO,5.55
2024-11-22,ARITZIA TORONTO,102.27
2024-11-22,LCBO #0882,42.07
2024-11-25,STARBUCKS #1042,8.29
2024-11-25,UBER* TRIP,20.57
2024-11-28,SECOND CUP TORONTO,6.95
2024-11-28,UBER* TRIP,13.11
2024-12-01,EMPLOYER DIRECT DEPOSIT,2132.64
2024-12-01,PRE-AUTH RENT PAYMENT,1750.0
2024-12-01,PRESTO TRANSIT TORONTO,156.0
2024-12-02,ROGERS WIRELESS,62.7
2024-12-03,NETFLIX.COM,22.99
2024-12-03,SPOTIFY P1A8F2,11.99
2024-12-03,TIM HORTONS #0442,8.09
2024-12-03,SECOND CUP TORONTO,6.47
2024-12-03,SECOND CUP TORONTO,6.07
2024-12-03,REXALL #0441,18.5
2024-12-03,UBER* TRIP,17.86
2024-12-04,BALZACS COFFEE TORONTO,8.94
2024-12-04,STARBUCKS #8834,5.33
2024-12-05,AMAZON PRIME CA,9.99
2024-12-05,UBER EATS*CAVA TORONTO,57.23
2024-12-07,APPLE.COM/BILL,3.99
2024-12-08,YOUTUBE PREMIUM,13.99
2024-12-08,TIM HORTONS #2291,4.8
2024-12-10,DUOLINGO PLUS,8.99
2024-12-10,STARBUCKS #1042,7.19
2024-12-11,DOORDASH*SWEETGREEN,69.3
2024-12-11,TIM HORTONS #2291,5.14
2024-12-11,LCBO #0442,21.65
2024-12-12,SHOPPERS DRUG MART #0882,54.85
2024-12-12,AMAZON.CA*MT4K2,26.54
2024-12-13,LOBLAWS #1192,98.8
2024-12-15,EMPLOYER DIRECT DEPOSIT,2124.48
2024-12-15,SUNSET GRILL,26.8
2024-12-17,SUNSET GRILL,34.78
2024-12-17,H&M QUEEN ST W,79.73
2024-12-18,ADOBE CC PLAN,29.99
2024-12-20,HEADSPACE APP,12.99
2024-12-20,ROGERS INTERNET,74.99
2024-12-21,TIM HORTONS #2291,8.79
2024-12-22,GOODLIFE FITNESS,44.99
2024-12-23,METRO INC ON,88.59
2024-12-23,UBER* TRIP,19.22
2024-12-23,LCBO #0882,38.13
2024-12-24,UBER* TRIP,25.39
2024-12-25,THE REX JAZZ BAR,57.45
2024-12-28,SKIP*PIZZA PIZZA,56.29
2024-12-28,CACTUS CLUB CAFE,19.81
2024-12-28,JACK ASTORS BAR,40.35
2024-12-28,BALZACS COFFEE TORONTO,6.57
